ridge_alpha,rf_max_depth,rf_min_samples_leaf,rf_max_features,ridge_weight,cv_rmse,cv_r2
1000.0,3,2,0.6,0.75,1.2357755393334986,0.09701206066225831
10.0,5,8,0.6,0.75,1.2358369099341928,0.09692237076868238
1000.0,None,8,1.0,0.5,1.2361488487332526,0.09646641982310689
1000.0,5,8,1.0,0.5,1.2364667292525877,0.09600166567424828
10.0,3,8,0.6,0.75,1.236698812248986,0.09566227549571826
1000.0,3,8,1.0,0.5,1.2386172272859788,0.09285441202856015
10.0,None,8,1.0,0.75,1.2386284437168287,0.09283798244627395
10.0,5,8,1.0,0.75,1.238893003366023,0.09245041812530763
10.0,3,8,1.0,0.75,1.2391185944436858,0.0921198750875406
0.1,None,2,0.6,0.25,1.2392799510551218,0.09188341346192475
1000.0,None,8,0.8,0.75,1.2409248067524477,0.08947118687301903
1000.0,5,8,0.8,0.75,1.241027323657535,0.0893207370614596
1000.0,None,8,1.0,0.25,1.2422548063709014,0.08751836598904583
1000.0,3,8,0.8,0.75,1.242681559572649,0.08689132660367926
1000.0,5,8,1.0,0.25,1.2426954599822895,0.08687089875473064
0.1,5,2,0.6,0.25,1.2429599355022187,0.0864821856707434
1.0,None,8,0.6,0.25,1.2431601384573694,0.08618788222667273
1000.0,None,8,0.6,0.75,1.2434771160384381,0.08572182017436103
1000.0,5,8,0.6,0.75,1.2435913865309596,0.08555377555660726
1.0,5,8,0.6,0.25,1.2436915689517378,0.08540643596019482
1.0,None,8,0.8,0.25,1.24375213992979,0.0853173476732183
1.0,5,8,0.8,0.25,1.2439521409253629,0.08502315376783942
1000.0,None,8,1.0,0.75,1.2442242930455196,0.0846227523055163
1000.0,5,8,1.0,0.75,1.244393461473905,0.08437382056809606
1000.0,3,8,1.0,0.25,1.2453823836452433,0.08291794209846004
1000.0,3,8,1.0,0.75,1.2456361126196724,0.08254421914116494
1000.0,3,8,0.6,0.75,1.2456744272867482,0.08248777801350893
1.0,3,8,0.6,0.25,1.2470715764002318,0.08042845938239818
1.0,3,8,0.8,0.25,1.2470750719716903,0.08042330421312438
0.1,3,2,0.6,0.25,1.249131437676239,0.07738812999774891
0.1,5,2,1.0,0.25,1.2535769477523042,0.07080951291930726
0.1,3,2,0.8,0.25,1.254077038045343,0.07006799987347878
0.1,5,2,0.8,0.25,1.2544342471244077,0.06953816406262836
0.1,None,2,0.8,0.25,1.2554332628373839,0.0680555576431241
0.1,None,2,1.0,0.25,1.2555704605676898,0.06785185482186362
0.1,3,2,1.0,0.25,1.261047949321333,0.05970102878095718
1.0,None,8,1.0,0.25,1.2662834688697333,0.05187710263539791
1.0,5,8,1.0,0.25,1.2668717668161935,0.05099592818211063
1.0,3,8,1.0,0.25,1.2683978646843843,0.048708174302761975
0.1,None,8,0.6,0.25,1.2789181556784235,0.03286240458712286
0.1,5,8,0.6,0.25,1.2794402384021786,0.032072629434160005
0.1,None,8,0.8,0.25,1.280295176944766,0.030778634029077767
0.1,5,8,0.8,0.25,1.280493464935564,0.03047839101754224
0.1,3,8,0.6,0.25,1.2825747398359335,0.02732416819025596
0.1,3,8,0.8,0.25,1.2834885781614749,0.02593760554165636
0.1,None,8,1.0,0.25,1.3040987050142556,-0.005596348722665123
0.1,5,8,1.0,0.25,1.304713233139938,-0.00654430279822904
0.1,3,8,1.0,0.25,1.3060412972060185,-0.008594463132780339
1.0,None,2,0.6,0.5,1.318380305972084,-0.02774216413803887
1.0,5,2,0.6,0.5,1.3212725976226662,-0.032256477144192
1.0,3,2,0.6,0.5,1.3240832765366843,-0.0366528862738702
1.0,5,2,0.8,0.5,1.3290474585546703,-0.044440584392858806
1.0,3,2,0.8,0.5,1.3291744161135823,-0.04464013476929485
1.0,5,2,1.0,0.5,1.3291934424925154,-0.04467004184705159
1.0,None,2,0.8,0.5,1.3302503846382012,-0.04633209457633103
1.0,None,2,1.0,0.5,1.3304481328590991,-0.0466432024574861
1.0,3,2,1.0,0.5,1.3336410740329385,-0.0516729066124908
1.0,None,8,0.6,0.5,1.339571458851689,-0.06104678088875359
1.0,5,8,0.6,0.5,1.339997449522851,-0.0617217249477342
1.0,None,8,0.8,0.5,1.3415373356621536,-0.06416332657314205
1.0,5,8,0.8,0.5,1.3416666694588828,-0.06436852237958779
1.0,3,8,0.6,0.5,1.3417178118693427,-0.06444966833121857
1.0,3,8,0.8,0.5,1.3432640444367516,-0.06690448425686935
1.0,None,8,1.0,0.5,1.355872972331255,-0.08702809244594945
1.0,5,8,1.0,0.5,1.356357073330893,-0.08780445622010413
1.0,3,8,1.0,0.5,1.3569348667804841,-0.08873143949656326
0.1,None,2,0.6,0.5,1.4245807386759402,-0.1999879822098085
0.1,5,2,0.6,0.5,1.427039276272562,-0.20413342827211967
0.1,3,2,0.6,0.5,1.429476961332752,-0.20825077132292646
0.1,3,2,0.8,0.5,1.4359957960293674,-0.219295855060186
0.1,5,2,0.8,0.5,1.4363785506485536,-0.2199459312214027
0.1,None,2,0.8,0.5,1.4373094708832463,-0.2215277431581253
0.1,5,2,1.0,0.5,1.4373342285651016,-0.22156982519587198
0.1,None,2,1.0,0.5,1.438487137567882,-0.22353029292103166
0.1,3,2,1.0,0.5,1.441515022656109,-0.22868655476112387
0.1,None,8,0.6,0.5,1.448458202800318,-0.24055120699414956
0.1,5,8,0.6,0.5,1.448858660394154,-0.24123725623510994
0.1,3,8,0.6,0.5,1.450271490196694,-0.24365917917340463
0.1,None,8,0.8,0.5,1.4512193753770373,-0.24528540068465898
0.1,5,8,0.8,0.5,1.4513436343035688,-0.24549866196598003
0.1,3,8,0.8,0.5,1.4527745866847395,-0.24795587173815647
0.1,None,8,1.0,0.5,1.466739391327329,-0.2720631501760302
0.1,5,8,1.0,0.5,1.46723822869049,-0.27292855344655353
0.1,3,8,1.0,0.5,1.4675898547063075,-0.27353874532994915
1.0,None,2,0.6,0.75,1.4991754163600088,-0.3289470102797507
1.0,5,2,0.6,0.75,1.5006534407563956,-0.3315686972862162
1.0,3,2,0.6,0.75,1.501383147755994,-0.33286398800517825
1.0,5,2,0.8,0.75,1.5048417701329764,-0.3390118962573321
1.0,3,2,0.8,0.75,1.5049337853169824,-0.33917565193630494
1.0,5,2,1.0,0.75,1.5054046266460737,-0.3400137457938204
1.0,None,2,0.8,0.75,1.505583259652801,-0.3403317797392822
1.0,None,2,1.0,0.75,1.5059573071104082,-0.34099784715045467
1.0,3,2,1.0,0.75,1.5072731283618739,-0.3433422487130957
1.0,None,8,0.6,0.75,1.5078622824323653,-0.344392609413938
1.0,5,8,0.6,0.75,1.5080946934888015,-0.3448070713840927
1.0,3,8,0.6,0.75,1.5086937596789545,-0.3458756892416448
1.0,None,8,0.8,0.75,1.5094464682384114,-0.3472189769138414
1.0,5,8,0.8,0.75,1.5095064828152194,-0.34732610808516085
1.0,3,8,0.8,0.75,1.5100680649319738,-0.34832878677753776
1.0,None,8,1.0,0.75,1.5159967860396952,-0.35893699444070903
1.0,5,8,1.0,0.75,1.5162659722328728,-0.35941963339710115
1.0,3,8,1.0,0.75,1.5163576527327416,-0.3595840320471104
0.1,None,2,0.6,0.75,1.6966157257668761,-0.7020398996520698
0.1,5,2,0.6,0.75,1.6977841052026208,-0.7043849364506538
0.1,3,2,0.6,0.75,1.698324911707451,-0.7054709276104623
0.1,3,2,0.8,0.75,1.7026040132804012,-0.7140759679729649
0.1,5,2,0.8,0.75,1.7028391447576854,-0.7145494321972319
0.1,None,2,0.8,0.75,1.703379149872358,-0.7156370419941196
0.1,5,2,1.0,0.75,1.7038556870330541,-0.7165971091239276
0.1,None,2,1.0,0.75,1.704339292337911,-0.7175716908166061
0.1,3,2,1.0,0.75,1.7055491264270586,-0.7200110106430626
0.1,None,8,0.6,0.75,1.7069954660827114,-0.7229294548114771
0.1,5,8,0.6,0.75,1.7072048936376405,-0.7233522456681165
0.1,3,8,0.6,0.75,1.7076204632365788,-0.7241913481917761
0.1,None,8,0.8,0.75,1.7089954167216914,-0.7269690583159714
0.1,5,8,0.8,0.75,1.709051416974136,-0.7270822385934472
0.1,3,8,0.8,0.75,1.7095182348355924,-0.728025853206995
0.1,None,8,1.0,0.75,1.7162302303420764,-0.7416218135567614
0.1,3,8,1.0,0.75,1.716464854648373,-0.742098037240642
0.1,5,8,1.0,0.75,1.7165009132231832,-0.7421712321354301
